user_id,first_name,last_name,email,password,account_type,dept_id,createdAt,updatedAt
1,Dorothy,Lopez,dorothy.lopezadmin@jamngroup.com,$2b$12$kwUCu7mtgSroxJLE7HfRt.C9h6w7xQTJGoQNSAAQrlwNPGSzTQLm2,admin,1,2020-12-26 14:27:03,2023-10-11 00:44:04.000000
2,Joshua,Myers,dorothy.lopezadmin@jamngroup.com,$2b$12$cEZ7xSYO6nGCFlJuTxuzEuYT6dTfDEeEVnNuIfxFyP1AU3JTds9T.,user,2,2021-01-04 03:20:13,2021-10-26 06:30:24.000000
3,Pamela,Patel,dorothy.lopezadmin@jamngroup.com,$2b$12$XwVa3XnQyWbOGIf4Jpyo9eB3g6SMbi00mzD5xeyTEhwFq3AxXUPXa,user,2,2021-01-06 14:38:55,2022-04-20 20:38:52.000000
4,Jacob,Chang,dorothy.lopezadmin@jamngroup.com,$2b$12$gpQU7XHl2YY2PZqNEOwU5eB03FoqJe8Wpbvam3v0SUiqphIhgwKPC,user,2,2021-01-18 07:44:16,2023-09-15 10:12:08.000000
5,Tiffany,Freeman,dorothy.lopezadmin@jamngroup.com,$2b$12$brosMw4MGpA94LJUGTmRQuaRBz1MqDijfibdTpVO27QP7A0ZGaoOW,user,2,2021-01-21 20:56:05,2022-07-17 08:17:40.000000
6,Calvin,Foster,dorothy.lopezadmin@jamngroup.com,$2b$12$Nh/0Aw4UbCAucdwVUcIAf.Ce5fndvKW0yYWDKX4hv3qfxeqZPUMVu,user,2,2021-02-01 21:08:35,2023-02-01 13:04:11.000000
7,Stacy,Snyder,dorothy.lopezadmin@jamngroup.com,$2b$12$P1t4HIy2TuOZuWms/omp/.1dcjeoTVQrV1OYNLwTu6PIxj2k3MfjK,user,2,2021-02-06 16:02:00,2022-07-24 04:50:59.000000
8,Kathy,Sparks,dorothy.lopezadmin@jamngroup.com,$2b$12$uLkAoenQWpR4SqpWJwzhMOt6cu0WqcNVcCA2dbBcSaspq7jtCJG/6,user,2,2021-02-20 13:36:16,2022-04-21 04:15:09.000000
9,Robert,Vargas,dorothy.lopezadmin@jamngroup.com,$2b$12$LIQYayXnWmyC.dhJlUiXfuSrIV0ILSQQstIc/99GIFUQwUDU5IgJm,user,2,2021-02-24 10:27:32,2021-05-15 02:55:49.000000
10,William,Green,dorothy.lopezadmin@jamngroup.com,$2b$12$h1la1K/DTfSaoQf3dA0cOOEPXMWgRZWPfleD.mfh7v6RHE5wvnsAa,user,2,2021-03-04 11:16:50,2023-06-01 11:12:13.000000
11,Daniel,Dominguez,dorothy.lopezadmin@jamngroup.com,$2b$12$C8V4e82vbzj.7bxOrOojKufZvirTmdyxIQhlehaG6w2YqJ0/3CjCi,user,2,2021-03-05 09:29:35,2022-02-21 10:18:46.000000
12,Brenda,Ray,dorothy.lopezadmin@jamngroup.com,$2b$12$2aH7hgS0kCG7ou.3IkUiMOrw6aem6Bxp5QzO1WoyasBuzY9UXSYPO,user,2,2021-03-18 18:58:15,2023-01-31 05:07:27.000000
13,Susan,Rivera,dorothy.lopezadmin@jamngroup.com,$2b$12$62YHJT9DqoZj2gqNCK53AeWI8ZQEO1cvEKYTxMJXbjFF2EmPWPinq,user,2,2021-03-27 07:32:35,2024-09-10 06:39:41.000000
14,Anthony,Clark,dorothy.lopezadmin@jamngroup.com,$2b$12$UYo/NHjS9cyygpoe4Nig2.J5XwPAbhkbjcMRrccG1fDqoACIBJ8tq,user,2,2021-04-05 17:38:06,2023-04-21 04:13:02.000000
15,Kyle,Zuniga,dorothy.lopezadmin@jamngroup.com,$2b$12$hcvStt5tMfyID1FTp6nezemRswKXxq4txC2C89lvU1rz6Ebx6wuPy,user,2,2021-04-13 08:54:39,2022-04-23 16:19:09.000000
16,Dawn,Brown,dorothy.lopezadmin@jamngroup.com,$2b$12$32WNp268Eidw8f.3Ab70AeMO15sSZ0ybdQXur5k8fC6CclDV1Rg9i,user,2,2021-04-19 21:49:46,2022-02-21 06:42:08.000000
17,Francisco,Choi,dorothy.lopezadmin@jamngroup.com,$2b$12$aq1ds6sLaEntAbElxII8L.NpekBAFfmce6Kuk7J1g4ATBe.UTGJNG,user,2,2021-04-20 13:59:07,2021-12-11 18:02:35.000000
18,Christopher,Wright,dorothy.lopezadmin@jamngroup.com,$2b$12$Aht/pXp2bJBNrW9UhLSC2.UmIayPlFa8FblDY03Zx8TVXnEisV8VS,user,2,2021-04-25 09:29:33,2023-07-29 19:49:17.000000
19,James,Williamson,dorothy.lopezadmin@jamngroup.com,$2b$12$VeN00DqLdeKIbYcq50FX.uLiIIMNPfOFLWLDrcyBESEAYu0hhgnH2,user,2,2021-04-29 12:53:45,2022-03-27 13:43:34.000000
